鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
內湖區,房地(土地+建物),臺北市內湖區文湖街７之５號,9.01,住,,,1150129,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0960308,41.41,2,1,1,有,有,18300000,441922,,0.0,0,陽台外推；夾層；其他增建；,RPVNMLRKLHLGFCA38DA,16.59,7.17,3.71,有,
中山區,房地(土地+建物),臺北市中山區四平街８９號二樓,28.54,住,,,1150118,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760418,157.06,4,2,2,有,有,34360000,218770,,0.0,0,,RPUOMLRKLHLGFCA38DA,119.42,1.6,9.12,有,095
內湖區,房地(土地+建物),臺北市內湖區東湖路４３巷２６弄３號五樓,27.92,住,,,1150120,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740213,90.45,2,2,2,有,無,15000000,165837,,0.0,0,,RPPPMLSJMHLGFCA08DA,82.85,0.0,7.6,無,096
松山區,房地(土地+建物),臺北市松山區撫遠街３９５巷３４號,31.62,都市：其他:住宅用地(民生社區特定專用區)。,,,1150125,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630131,82.23,3,2,1,有,無,18500000,224979,,0.0,0,其他增建；,RPWQMLRKLHLGFDA88DA,82.23,0.0,0.0,無,
南港區,房地(土地+建物)+車位,臺北市南港區興中路６８巷１２號十四樓,14.81,商,,,1150110,土地1建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0831216,173.18,2,2,2,有,有,33980000,233185,坡道平面,38.18,2500000,陽台外推；其他增建；,RPTNMLKMLHLGFDA77DA,128.99,1.15,11.02,有,
松山區,房地(土地+建物),臺北市松山區寶清街１０５巷８號三樓,21.31,住,,,1150119,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710415,114.35,3,2,2,有,有,23500000,205509,,0.0,0,,RPRNMLNKMHLGFDA77DA,85.69,0.0,13.34,有,
信義區,房地(土地+建物),臺北市信義區松德路９０之１號十三樓,9.98,住,,,1150130,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140930,67.8,2,2,1,有,有,30760000,453687,,0.0,0,,RPQOMLNKMHLGFDA77DA,40.9,0.0,3.14,有,097
松山區,房地(土地+建物),臺北市松山區寧安街９巷２號四樓,45.95,住,,,1150131,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650227,138.87,3,2,2,有,無,33500000,241233,,0.0,0,頂樓加蓋；,RPUPMLOKMHLGFDA38DA,138.87,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區大南路３２５號二樓,7.35,工,,,1150117,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0961205,49.010000000000005,1,1,1,有,有,10220000,208529,,0.0,0,其他增建；,RPXNMLMKKHLGFEA18DA,28.67,0.53,2.97,有,
士林區,房地(土地+建物),臺北市士林區中正路６２２號二樓,35.1,住,,,1150128,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761119,101.0,3,2,2,有,無,17000000,168317,,0.0,0,陽台外推；其他增建；,RPUNMLOJLHLGFEA08DA,80.54,0.0,10.54,無,098
